aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
hochheben, hebe hoch, hebt hoch, hob hoch, höbe hoch, heb hoch, hebt hoch, haben, hochgehoben
hochhieven, hieve hoch, hievt hoch, hievte hoch, hievte hoch, hiev hoch, hievt hoch, haben, hochgehievt
hochklettern, kletter hoch, klettert hoch, kletterte hoch, kletterte hoch, kletter hoch, klettert hoch, sein, hochgeklettert
hochkommen, komme hoch, kommt hoch, kam hoch, käme hoch, komm hoch, kommt hoch, sein, hochgekommen
hochkrempeln, kremple hoch, krempelt hoch, krempelte hoch, krempelte hoch, kremple hoch, krempelt hoch, haben, hochgekrempelt
hochkriegen, kriege hoch, kriegt hoch, kriegte hoch, kriegte hoch, krieg hoch, kriegt hoch, haben, hochgekriegt
hochladen, lade hoch, lädt hoch, lud hoch, lüde hoch, lad hoch, ladet hoch, haben, hochgeladen
hochspielen, spiele hoch, spielt hoch, spielte hoch, spielte hoch, spiel hoch, spielt hoch, haben, hochgespielt
hochstilisieren, stilisiere hoch, stilisiert hoch, stilisierte hoch, stilisierte hoch, stilisier hoch, stilisiert hoch, haben, hochstilisiert
hochtreiben, treibe hoch, treibt hoch, trieb hoch, triebe hoch, treib hoch, treibt hoch, haben, hochgetrieben
hochziehen, ziehe hoch, zieht hoch, zog hoch, zöge hoch, zieh hoch, zieht hoch, haben, hochgezogen
hocken, hocke, hockt, hockte, hockte, hock, hockt, haben, gehockt
hoffen, hoffe, hofft, hoffte, hoffte, hoff, hofft, haben, gehofft
hofieren, hofiere, hofiert,  hofierte, hofierte, hofiere, hofiert, haben, hofiert
hofmeistern, hofmeistere, hofmeistert, hofmeisterte, hofmeisterte, hofmeistere, hofmeistert, haben, gehofmeistert
hohnlachen, hohnlache, hohnlacht, hohnlachte, hohnlachte, hohnlach, hohnlacht, haben, gehohnlacht
holen, hole, holt, holte, holte, hole, holt, haben, geholt
holpern, holper, holpert, holperte, holperte, holper, holpert, haben, geholpert
holzen, holze, holzt, holzte, holzte, holz, holzt, haben, geholzt
honen, hone, hont, honte, honte, hon, hont, haben, gehont
honorieren, honoriere, honoriert, honorierte, honorierte, honoriere, honoriert, haben, honoriert
hoppeln, hopple, hoppelt, hoppelte, hoppelte, hopple, hoppelt, sein, gehoppelt
hopsen, hopse, hopst, hopste, hopste, hops, hopst, sein, gehopst
horchen, horche, horcht, horchte, horchte, horch, horcht, haben, gehorcht
horten, horte, hortet, hortete, hortete, hort, hortet, haben, gehortet
hospitieren, hospitiere, hospitiert, hospitierte, hospitierte, hospitier, hospitiert, haben, hospitiert
hudeln, hudle, hudelt, hudelte, hudelte, hudle, hudelt, haben, gehudelt
hudern, hudere, hudert, huderte, huderte, hudere, hudert, haben, gehudert
huldigen, huldige, huldigt, huldigte, huldigte, huldige, huldigt, haben, gehuldigt
humpeln, humpel, humpelt, humpelte, humpelte, humpel, humpelt, sein, gehumpelt
hungern, hungere, hungert, hungerte, hungerte, hungere, hungert, haben, gehungert
hunzen, hunze, hunzt, hunzte, hunzte, hunz, hunzt, haben, gehunzt
hupen, hupe, hupt, hupte, hupte, hupe, hupt, haben, gehupt
hupfen, hupfe, hupft, hupfte, hupfte, hupf, hupft, sein, gehupft
huren, hure, hurt, hurte, hurte, hur, hurt, haben, gehurt
huschen, husche, huscht, huschte, huschte, husche, huscht, sein, gehuscht
hussen, husse, husst, husste, husste, husse, husst, haben, gehusst
husten, huste, hustet, hustete, hustete, huste, hustet, haben, gehustet
hutschen, hutsche, hutscht, hutschte, hutschte, hutsch, hutscht, haben, gehutscht
hutzeln, hutzele, hutzelt, hutzelte, hutzelte, hutzel, hutzelt, sein, gehutzelt
hypen, hype, hypt, hypte, hypte, hyp, hypt, haben, gehypt
hypnotisieren, hypnotisiere, hypnotisiert, hypnotisierte, hypnotisierte, hypnotisiere, hypnotisiert, haben, hypnotisiert
hypostasieren, hypostasiere, hypostasiert, hypostasierte, hypostasierte, hypostasier, hypostasiert, haben, hypostasiert
häckseln, häcksle, häckselt, häckselte, häckselte, häcksle, häckselt, haben, gehäckselt
häkeln, häkle, häkelt, häkelte, häkelte, häkle, häkelt, haben, gehäkelt
hämmern, hämmere, hämmert, hämmerte, hämmerte, hämmere, hämmert, haben, gehämmert
hängen, hänge, hängt, hing, hinge, hänge, hängt, haben, gehangen
hängen, hänge, hängt, hängte, hängte, hänge, hängt, haben, gehängt
hänseln, hänsle, hänselt, hänselte, hänselte, hänsle, hänselt, haben, gehänselt
hären, häre, härt, härte, härte, häre, härt, haben, gehärt
härmen, härme, härmt, härmte, härmte, härm, härmt, haben, gehärmt
härten, härte, härtet, härtete, härtete, härt, härtet, haben, gehärtet
hätscheln, hätschle, hätschelt, hätschelte, hätschelte, hätschle, hätschelt, haben, gehätschelt
häufeln, häufele, häufelt, häufelte, häufelte, häufele, häufelt, haben, gehäufelt
häufen, häufe, häuft, häufte, häufte, häuf, häuft, haben, gehäuft
häuten, häute, häutet, häutete, häutete, häut, häutet, haben, gehäutet
höhnen, höhne, höhnt, höhnte, höhnte, höhne, höhnt, haben, gehöhnt
höken, höke, hökt, hökte, hökte, hök, hökt, haben, gehökt
hökern, hökere, hökert, hökerte, hökerte, höker, hökert, haben, gehökert
hören, höre, hört, hörte, hörte, hör, hört, haben, gehört
hörnen, hörne, hörnt, hörnte, hörnte, hörn, hörnt, haben, gehörnt
hübsch machen, mache hübsch, macht hübsch, machte hübsch, machte hübsch, mach hübsch, macht hübsch, haben, hübsch gemacht
hüllen, hülle, hüllt, hüllte, hüllte, hülle, hüllt, haben, gehüllt
hüpfen, hüpfe, hüpft, hüpfte, hüpfte, hüpfe, hüpft, sein, gehüpft
hüsteln, hüstele, hüstelt, hüstelte, hüstelte, hüstel, hüstelt, haben, gehüstelt
hüten, hüte, hütet, hütete, hütete, hüte, hütet, haben, gehütet
iahen, iahe, iaht, iahte, iahte, iahe, iaht, haben, geiaht
idealisieren, idealisiere, idealisiert, idealisierte, idealisierte, idealisier, idealisiert, haben, idealisiert
identifizieren, identifiziere, identifiziert, identifizierte, identifizierte, identifiziere, identifiziert, haben, identifiziert
ignorieren, ignoriere, ignoriert, ignorierte, ignorierte, ignoriere, ignoriert, haben, ignoriert
ihrzen, ihrze, ihrzt, ihrzte, ihrzte, ihrze, ihrzt, haben, geihrzt
illern, illere, illert, illerte, illerte, iller, illert, haben, geillert
illuminieren, illuminiere, illuminiert, illuminierte, illuminierte, illuminiere, illuminiert, haben, illuminiert
illustrieren, illustriere, illustriert, illustrierte, illustrierte, illustrier, illustriert, haben, illustriert
imaginieren, imaginiere, imaginiert, imaginierte, imaginierte, imaginier, imaginiert, haben, imaginiert
imitieren, imitiere, imitiert, imitierte, imitierte, imitiere, imitiert, haben, imitiert
imkern, imkere, imkert, imkerte, imkerte, imkere, imkert, haben, geimkert
immatrikulieren, immatrikuliere, immatrikuliert, immatrikulierte, immatrikulierte, immatrikuliere, immatrikuliert, haben, immatrikuliert
immigrieren, immigriere, immigriert, immigrierte, immigrierte, immigrier, immigriert, sein, immigriert
immortalisieren, immortalisiere, immortalisiert, immortalisierte, immortalisierte, immortalisier, immortalisiert, haben, immortalisiert
immunisieren, immunisiere, immunisiert, immunisierte, immunisierte, immunisier, immunisiert, haben, immunisiert
impfen, impfe, impft, impfte, impfte, impfe, impft, haben, geimpft
implantieren, implantiere, implantiert, implantierte, implantierte, implantier, implantiert, haben, implantiert
implementieren, implementiere, implementiert, implementierte, implementierte, implementiere, implementiert, haben, implementiert
implizieren, impliziere, impliziert, implizierte, implizierte, impliziere, impliziert, haben, impliziert
imponieren, imponiere, imponiert, imponierte, imponierte, imponiere, imponiert, haben, imponiert
importieren, importiere, importiert, importierte, importierte, importiere, importiert, haben, importiert
improvisieren, improvisiere, improvisiert, improvisierte, improvisierte, improvisiere, improvisiert, haben, improvisiert
inchromieren, inchromiere, inchromiert, inchromierte, inchromierte, inchromier, inchromiert, haben, inchromiert
indexieren, indexiere, indexiert, indexierte, indexierte, indexiere, indexiert, haben, indexiert
indignieren, indigniere, indigniert, indignierte, indignierte, indignier, indigniert, haben, indigniert
individualisieren, individualisiere, individualisiert, individualisierte, individualisierte, individualisier, individualisiert, haben, individualisiert
indizieren, indiziere, indiziert, indizierte, indizierte, indiziere, indiziert, haben, indiziert
indoktrinieren, indoktriniere, indoktriniert, indoktrinierte, indoktrinierte, indoktriniere, indoktriniert, haben, indoktriniert
indossieren, indossiere, indossiert, indossierte, indossierte, indossiere, indossiert, haben, indossiert
indulgieren, indulgiere, indulgiert, indulgierte, indulgierte, indulgiere, indulgiert, haben, indulgiert
industrialisieren, industrialisiere, industrialisiert, industrialisierte, industrialisierte, industrialisier, industrialisiert, haben, industrialisiert
induzieren, induziere, induziert, induzierte, induzierte, induziere, induziert, haben, induziert
ineinandergreifen, —, greift ineinander, griff ineinander, griffe ineinander, —, —, haben, ineinandergegriffen
ineinanderschachteln, schachtle ineinander, schachtelt ineinander, schachtelte ineinander, schachtelte ineinander, schachtle ineinander, schachtelt ineinander, haben, ineinandergeschachtelt
infiltrieren, infiltriere, infiltriert, infiltrierte, infiltrierte, infiltriere, infiltriert, haben, infiltriert
infizieren, infiziere, infiziert, infizierte, infizierte, infiziere, infiziert, haben, infiziert
influenzieren, influenziere, influenziert, influenzierte, influenzierte, influenzier, influenziert, haben, influenziert
informieren, informiere, informiert, informierte, informierte, informiere, informiert, haben, informiert
infrage stellen, stelle infrage, stellt infrage, stellte infrage, stellte infrage, stell infrage, stellt infrage, haben, infrage gestellt
infundieren, infundiere, infundiert, infundierte, infundierte, infundiere, infundiert, haben, infundiert
inhaftieren, inhaftiere, inhaftiert, inhaftierte, inhaftierte, inhaftiere, inhaftiert, haben, inhaftiert
inhalieren, inhaliere, inhaliert, inhalierte, inhalierte, inhalier, inhaliert, haben, inhaliert
inhibieren, inhibiere, inhibiert, inhibierte, inhibierte, inhibier, inhibiert, haben, inhibiert
initialisieren, initialisiere, initialisiert, initialisierte, initialisierte, initialisiere, initialisiert, haben, initialisiert
initiieren, initiiere, initiiert, initiierte, initiierte, initiiere, initiiert, haben, initiiert
injizieren, injiziere, injiziert, injizierte, injizierte, injizier, injiziert, haben, injiziert
inkludieren, inkludiere, inkludiert, inkludierte, inkludierte, inkludier, inkludiert, haben, inkludiert
inkommodieren, inkommodiere, inkommodiert, inkommodierte, inkommodierte, inkommodiere, inkommodiert, haben, inkommodiert
inkrementieren, inkrementiere, inkrementiert, inkrementierte, inkrementierte, inkrementier, inkrementiert, haben, inkrementiert
inkriminieren, inkriminiere, inkriminiert, inkriminierte, inkriminierte, inkriminiere, inkriminiert, haben, inkriminiert
inkubieren, inkubiere, inkubiert, inkubierte, inkubierte, inkubier, inkubiert, haben, inkubiert
inlinen, inline, inlinet, inlinete, inlinete, inline, inlinet, sein, geinlinet
inlinern, inlinere, inlinert, inlinerte, inlinerte, inlinere, inlinert, sein, geinlinert
inlineskaten, inlineskate, inlineskatet, inlineskatete, inlineskatete, inlineskate, inlineskatet, sein, inlinegeskatet
innehaben, habe inne, hat inne, hatte inne, hätte inne, hab inne, habt inne, haben, innegehabt
innehalten, halte inne, hält inne, hielt inne, hielte inne, halt inne, haltet inne, haben, innegehalten
innervieren, innerviere, innerviert, innervierte, innervierte, innervier, innerviert, haben, innerviert
innewohnen, wohne inne, wohnt inne, wohnte inne, wohnte inne, wohn inne, wohnt inne, haben, innegewohnt
innovieren, innoviere, innoviert, innovierte, innovierte, innovier, innoviert, haben, innoviert
inquirieren, inquiriere, inquiriert, inquirierte, inquirierte, inquirier, inquiriert, haben, inquiriert
inserieren, inseriere, inseriert, inserierte, inserierte, inseriere, inseriert, haben, inseriert
insinuieren, insinuiere, insinuiert, insinuierte, insinuierte, insinuiere, insinuiert, haben, insinuiert
insistieren, insistiere, insistiert, insistierte, insistierte, insistiere, insistiert, haben, insistiert
inskribieren, inskribiere, inskribiert, inskribierte, inskribierte, inskribiere, inskribiert, haben, inskribiert
inspirieren, inspiriere, inspiriert, inspirierte, inspirierte, inspiriere, inspiriert, haben, inspiriert
inspizieren, inspiziere, inspiziert, inspizierte, inspizierte, inspizier, inspiziert, haben, inspiziert
installieren, installiere, installiert, installierte, installierte, installiere, installiert, haben, installiert
instand setzen, setze instand, setzt instand, setzte instand, setzte instand, setz instand, setzt instand, haben, instandgesetzt
instigieren, instigiere, instigiert, instigierte, instigierte, instigier, instigiert, haben, instigiert
instillieren, instilliere, instilliert, instillierte, instillierte, instillier, instilliert, haben, instilliert
instituieren, instituiere, instituiert, instituierte, instituierte, instituiere, instituiert, haben, instituiert
institutionalisieren, institutionalisiere, institutionalisiert, institutionalisierte, institutionalisierte, institutionalisier, institutionalisiert, haben, institutionalisiert
instruieren, instruiere, instruiert, instruierte, instruierte, instruiere, instruiert, haben, instruiert
instrumentalisieren, instrumentalisiere, instrumentalisiert, instrumentalisierte, instrumentalisierte, instrumentalisiere, instrumentalisiert, haben, instrumentalisiert
inszenieren, inszeniere, inszeniert, inszenierte, inszenierte, inszeniere, inszeniert, haben, inszeniert
integrieren, integriere, integriert, integrierte, integrierte, integriere, integriert, haben, integriert
intendieren, intendiere, intendiert, intendierte, intendierte, intendiere, intendiert, haben, intendiert
intensivieren, intensiviere, intensiviert, intensivierte, intensivierte, intensivier, intensiviert, haben, intensiviert
interagieren, interagiere, interagiert, interagierte, interagierte, interagiere, interagiert, haben, interagiert
interessieren, interessiere, interessiert, interessierte, interessierte, interessiere, interessiert, haben, interessiert
intermittieren, intermittiere, intermittiert, intermittierte, intermittierte, intermittier, intermittiert, haben, intermittiert
internalisieren, internalisiere, internalisiert, internalisierte, internalisierte, internalisiere, internalisiert, haben, internalisiert
internationalisieren, internationalisiere, internationalisiert, internationalisierte, internationalisierte, internationalisier, internationalisiert, haben, internationalisiert
internieren, interniere, interniert, internierte, internierte, interniere, interniert, haben, interniert
interpellieren, interpelliere, interpelliert, interpellierte, interpellierte, interpelliere, interpelliert, haben, interpelliert
interpolieren, interpoliere, interpoliert, interpolierte, interpolierte, interpolier, interpoliert, haben, interpoliert
interponieren, interponiere, interponiert, interponierte, interponierte, interponier, interponiert, haben, interponiert
interpretieren, interpretiere, interpretiert, interpretierte, interpretierte, interpretiere, interpretiert, haben, interpretiert
interpungieren, interpungiere, interpungiert, interpungierte, interpungierte, interpungier, interpungiert, haben, interpungiert
interpunktieren, interpunktiere, interpunktiert, interpunktierte, interpunktierte, interpunktier, interpunktiert, haben, interpunktiert
intervenieren, interveniere, interveniert, intervenierte, intervenierte, interveniere, interveniert, haben, interveniert
interviewen, interviewe, interviewt, interviewte, interviewte, interview, interviewt, haben, interviewt
interzedieren, interzediere, interzediert, interzedierte, interzedierte, interzedier, interzediert, haben, interzediert
inthronisieren, inthronisiere, inthronisiert, inthronisierte, inthronisierte, inthronisiere, inthronisiert, haben, inthronisiert
intonieren, intoniere, intoniert, intonierte, intonierte, intoniere, intoniert, haben, intoniert
intrigieren, intrigiere, intrigiert, intrigierte, intrigierte, intrigiere, intrigiert, haben, intrigiert
intubieren, intubiere, intubiert, intubierte, intubierte, intubier, intubiert, haben, intubiert
invadieren, invadiere, invadiert, invadierte, invadierte, invadier, invadiert, haben, invadiert
inventarisieren, inventarisiere, inventarisiert, inventarisierte, inventarisierte, inventarisier, inventarisiert, haben, inventarisiert
inventieren, inventiere, inventiert, inventierte, inventierte, inventier, inventiert, haben, inventiert
invertieren, invertiere,  invertiert, invertierte, invertierte, invertiere, invertiert, haben, invertiert
investieren, investiere, investiert, investierte, investierte, investiere, investiert, haben, investiert
investigieren, investigiere, investigiert, investigierte, investigierte, investigier, investigiert, haben, investigiert
involvieren, involviere, involviert, involvierte, involvierte, involvier, involviert, haben, involviert
inzidieren, inzidiere, inzidiert, inzidierte, inzidierte, inzidier, inzidiert, haben, inzidiert
ionisieren, ionisiere, ionisiert, ionisierte, ionisierte, ionisier, ionisiert, haben, ionisiert
irisieren, irisiere, irisiert, irisierte, irisierte, irisiere, irisiert, haben, irisiert
ironisieren, ironisiere, ironisiert, ironisierte, ironisierte, ironisier, ironisiert, haben, ironisiert
irreführen, führe irre, führt irre, führte irre, führte irre, führ irre, führt irre, haben, irregeführt
irren, irre, irrt, irrte, irrte, irr, irrt, haben, geirrt
irrigieren, irrigiere, irrigiert, irrigierte, irrigierte, irrigier, irrigiert, haben, irrigiert
irritieren, irritiere, irritiert, irritierte, irritierte, irritiere, irritiert, haben, irritiert
irrlichtern, irrlichtere, irrlichtert, irrlichterte, irrlichterte, irrlichtere, irrlichtert, haben, geirrlichtert
islamisieren, islamisiere, islamisiert, islamisierte, islamisierte, islamisier, islamisiert, haben, islamisiert
isolieren, isoliere, isoliert, isolierte, isolierte, isoliere, isoliert, haben, isoliert
iterieren, iteriere, iteriert, iterierte, iterierte, iterier, iteriert, haben, iteriert
jagen, jage, jagt, jagte, jagte, jag, jagt, haben, gejagt
jammen, jamme, jammt, jammte, jammte, jamm, jammt, haben, gejammt
jammern, jammere, jammert, jammerte, jammerte, jammere, jammert, haben, gejammert
japsen, japse, japst, japste, japste, japs, japst, haben, gejapst
jarowisieren, jarowisiere, jarowisiert, jarowisierte, jarowisierte, jarowisier, jarowisiert, haben, jarowisiert
jauchzen, jauchze, jauchzt, jauchzte, jauchzte, jauchze, jauchzt, haben, gejauchzt
jaulen, jaule, jault, jaulte, jaulte, jaule, jault, haben, gejault
jazzen, jazze, jazzt, jazzte, jazzte, jazz, jazzt, haben, gejazzt
jetten, jette, jettet, jettete, jettete, jett, jettet, sein, gejettet
jeuen, jeue, jeut, jeute, jeute, jeu, jeut, haben, gejeut
jibbern, jibber, jibbert, jibberte, jibberte, jibber, jibbert, haben, gejibbert
jobben, jobbe, jobbt, jobbte, jobbte, jobb, jobbt, haben, gejobbt
jochen, joche, jocht, jochte, jochte, joch, jocht, haben, gejocht
jodeln, jodele, jodelt, jodelte, jodelte, jodle, jodelt, haben, gejodelt
jodieren, jodiere, jodiert, jodierte, jodierte, jodier, jodiert, haben, jodiert
joggen, jogge, joggt, joggte, joggte, jogge, joggt, haben, gejoggt
johlen, johle, johlt, johlte, johlte, johl, johlt, haben, gejohlt
jonglieren, jongliere, jongliert, jonglierte, jonglierte, jongliere, jongliert, haben, jongliert
jubeln, juble, jubelt, jubelte, jubelte, juble, jubelt, haben, gejubelt
jubilieren, jubiliere, jubiliert, jubilierte, jubilierte, jubiliere, jubiliert, haben, jubiliert
juchen, juche, jucht, juchte, juchte, juch, jucht, haben, gejucht
juckeln, juckel, juckelt, juckelte, juckelte, juckle, juckelt, sein, gejuckelt
jucken, jucke, juckt, juckte, juckte, juck, juckt, haben, gejuckt
jucken, jucke, juckt, juckte, juckte, juck, juckt, sein, gejuckt
jumpen, jumpe, jumpt, jumpte, jumpte, jump, jumpt, sein, gejumpt
justieren, justiere, justiert, justierte, justierte, justier, justiert, haben, justiert
jähren, jähre, jährt, jährte, jährte, jähr, jährt, haben, gejährt
jäten, jäte, jätet, jätete, jätete, jäte, jätet, haben, gejätet
jüdeln, jüdle, jüdelt, jüdelte, jüdelte, jüdle, jüdelt, haben, gejüdelt
kabbeln, kabbele, kabbelt, kabbelte, kabbelte, kabble, kabbelt, haben, gekabbelt
kabeln, kable, kabelt, kabelte, kabelte, kabele, kabelt, haben, gekabelt
kabeln, kable, kabelt, kabelte, kabelte, kabele, kabelt, haben, gekabelt
kacheln, kachele, kachelt, kachelte, kachelte, kachele, kachelt, haben, gekachelt
kacken, kacke, kackt, kackte, kackte, kack, kackt, haben, gekackt
kaduzieren, kaduziere, kaduziert, kaduzierte, kaduzierte, kaduzier, kaduziert, haben, kaduziert
kakeln, kakele, kakelt, kakelte, kakelte, kakel, kakelt, haben, gekakelt
kalauern, kalauere, kalauert, kalauerte, kalauerte, kalauere, kalauert, haben, gekalauert
kalben, kalbe, kalbt, kalbte, kalbte, kalbe, kalbt, haben, gekalbt
kalfatern, kalfatere, kalfatert, kalfaterte, kalfaterte, kalfatere, kalfatert, haben, kalfatert
kalibrieren, kalibriere, kalibriert, kalibrierte, kalibrierte, kalibriere, kalibriert, haben, kalibriert
kalken, kalke, kalkt, kalkte, kalkte, kalk, kalkt, haben, gekalkt
kalkulieren, kalkuliere, kalkuliert, kalkulierte, kalkulierte, kalkulier, kalkuliert, haben, kalkuliert
kalligraphieren, kalligraphiere, kalligraphiert, kalligraphierte, kalligraphierte, kalligraphier, kalligraphiert, haben, kalligraphiert
kalmieren, kalmiere, kalmiert, kalmierte, kalmierte, kalmiere, kalmiert, haben, kalmiert
kaltmachen, mache kalt, macht kalt, machte kalt, machte kalt, mach kalt, macht kalt, haben, kaltgemacht
kalzinieren, kalziniere, kalziniert, kalzinierte, kalzinierte, kalzinier, kalziniert, haben, kalziniert
kampeln, kample, kampelt, kampelte, kampelte, kample, kampelt, haben, gekampelt
kampieren, kampiere, kampiert, kampierte, kampierte, kampier, kampiert, haben, kampiert
kanalisieren, kanalisiere, kanalisiert, kanalisierte, kanalisierte, kanalisier, kanalisiert, haben, kanalisiert
kandidieren, kandidiere, kandidiert, kandidierte, kandidierte, kandidiere, kandidiert, haben, kandidiert
kandieren, kandiere, kandiert, kandierte, kandierte, kandiere, kandiert, haben, kandiert
kanonisieren, kanonisiere, kanonisiert, kanonisierte, kanonisierte, kanonisier, kanonisiert, haben, kanonisiert
kanten, kante, kantet, kantete, kantete, kant, kantet, haben, gekantet
kapern, kapere, kapert, kaperte, kaperte, kapere, kapert, haben, gekapert
kapieren, kapiere, kapiert, kapierte, kapierte, kapiere, kapiert, haben, kapiert
kapitalisieren, kapitalisiere, kapitalisiert, kapitalisierte, kapitalisierte, kapitalisiere, kapitalisiert, haben, kapitalisiert
kapitulieren, kapituliere, kapituliert, kapitulierte, kapitulierte, kapitulier, kapituliert, haben, kapituliert
kappen, kappe, kappt, kappte, kappte, kapp, kappt, haben, gekappt
kaprizieren, kapriziere, kapriziert, kaprizierte, kaprizierte, kaprizier, kapriziert, haben, kapriziert
kapseln, kapsle, kapselt, kapselte, kapselte, kapsle, kapselt, haben, gekapselt
kaptivieren, kaptiviere, kaptiviert, kaptivierte, kaptivierte, kaptivier, kaptiviert, haben, kaptiviert
kaputtmachen, mache kaputt, macht kaputt, machte kaputt, machte kaputt, mach kaputt, macht kaputt, haben, kaputtgemacht
karamellisieren, karamellisiere, karamellisiert, karamellisierte, karamellisierte, karamellisiere, karamellisiert, haben, karamellisiert
karden, karde, kardet, kardete, kardete, kard, kardet, haben, gekardet
karessieren, karessiere, karessiert, karessierte, karessierte, karessiere, karessiert, haben, karessiert
kargen, karge, kargt, kargte, kargte, karg, kargt, haben, gekargt
karikieren, karikiere, karikiert, karikierte, karikierte, karikiere, karikiert, haben, karikiert
karjuckeln, karjuckele, karjuckelt, karjuckelte, karjuckelte, karjuckele, karjuckelt, sein, karjuckelt
karren, karre, karrt, karrte, karrte, karr, karrt, haben, gekarrt
karteln, kartel, kartelt, kartelte, kartelte, kartle, kartelt, haben, gekartelt
kartieren, kartiere, kartiert, kartierte, kartierte, kartier, kartiert, haben, kartiert
kartografieren, kartografiere, kartografiert, kartografierte, kartografierte, kartografiere, kartografiert, haben, kartografiert
kartographieren, kartographiere, kartographiert, kartographierte, kartographierte, kartographiere, kartographiert, haben, kartographiert
kaschen, kasche, kascht, kaschte, kaschte, kasch, kascht, haben, gekascht
kaschieren, kaschiere, kaschiert, kaschierte, kaschierte, kaschiere, kaschiert, haben, kaschiert
kaskadieren, kaskadiere, kaskadiert, kaskadierte, kaskadierte, kaskadier, kaskadiert, haben, kaskadiert
kaspern, kaspere, kaspert, kasperte, kasperte, kaspere, kaspert, haben, gekaspert
kassibern, kassibere, kassibert, kassiberte, kassiberte, kassibere, kassibert, haben, kassibert
kassieren, kassiere, kassiert, kassierte, kassierte, kassiere, kassiert, haben, kassiert
kasteien, kasteie, kasteit, kasteite, kasteite, kastei, kasteit, haben, kasteit
kastrieren, kastriere, kastriert, kastrierte, kastrierte, kastrier, kastriert, haben, kastriert
katalogisieren, katalogisiere, katalogisiert, katalogisierte, katalogisierte, katalogisiere, katalogisiert, haben, katalogisiert
katapultieren, katapultiere, katapultiert, katapultierte, katapultierte, katapultier, katapultiert, haben, katapultiert
kategorisieren, kategorisiere, kategorisiert, kategorisierte, kategorisierte, kategorisiere, kategorisiert, haben, kategorisiert
katschen, katsche, katscht, katschte, katschte, katsch, katscht, haben, gekatscht
katzbuckeln, katzbuckle, katzbuckelt, katzbuckelte, katzbuckelte, katzbuckle, katzbuckelt, haben, gekatzbuckelt
kaudern, kaudere, kaudert, kauderte, kauderte, kaudere, kaudert, haben, gekaudert
kauderwelschen, kauderwelsche, kauderwelscht, kauderwelschte, kauderwelschte, kauderwelsch, kauderwelscht, haben, gekauderwelscht
kauen, kaue, kaut, kaute, kaute, kaue, kaut, haben, gekaut
kauern, kauere, kauert, kauerte, kauerte, kauere, kauert, haben, gekauert
kaufen, kaufe, kauft, kaufte, kaufte, kauf, kauft, haben, gekauft
kauterisieren, kauterisieren, kauterisiert, kauterisierte, kauterisierte, kauterisier, kauterisiert, haben, kauterisiert
kegeln, kegele, kegelt, kegelte, kegelte, kegele, kegelt, haben, gekegelt
kehren, kehre, kehrt, kehrte, kehrte, kehre, kehrt, haben, gekehrt
kehrtmachen, mache kehrt, macht kehrt, machte kehrt, machte kehrt, mach kehrt, macht kehrt, haben, kehrtgemacht
keifen, keife, keift, keifte, keifte, keif, keift, haben, gekeift
keilen, keile, keilt, keilte, keilte, keil, keilt, haben, gekeilt
keilen, keile, keilt, keilte, keilte, keil, keilt, haben, gekeilt
keilen, keile, keilt, keilte, keilte, keil, keilt, haben, gekeilt
keimen, keime, keimt, keimte, keimte, keim, keimt, haben, gekeimt
kellnern, kellnere, kellnert, kellnerte, kellnerte, kellner, kellnert, haben, gekellnert
keltern, keltere, keltert, kelterte, kelterte, keltere, keltert, haben, gekeltert
kennen lernen, lerne kennen, lernt kennen, lernte kennen, lernte kennen, lerne kennen, lernt kennen, haben, kennen gelernt
kennen, kenne, kennt, kannte, kennte, kenne, kennt, haben, gekannt
kennenlernen, lerne kennen, lernt kennen, lernte kennen, lernte kennen, lerne kennen, lernt kennen, haben, kennengelernt
kennzeichnen, kennzeichne, kennzeichnet, kennzeichnete, kennzeichnete, kennzeichne, kennzeichnet, haben, gekennzeichnet
kentern, kentere, kentert, kenterte, kenterte, kentere, kentert, sein, gekentert
keppeln, kepple, keppelt, keppelte, keppelte, kepple, keppelt, haben, gekeppelt
kerben, kerbe, kerbt, kerbte, kerbte, kerb, kerbt, haben, gekerbt
ketteln, kettele, kettelt, kettelte, kettelte, kettele, kettelt, haben, gekettelt
ketten, kette, kettet, kettete, kettete, kett, kettet, haben, gekettet
ketzern, ketzere, ketzert, ketzerte, ketzerte, ketzer, ketzert, haben, geketzert
keuchen, keuche, keucht, keuchte, keuchte, keuche, keucht, haben, gekeucht
keulen, keule, keult, keulte, keulte, keul, keult, haben, gekeult
kichern, kichere, kichert, kicherte, kicherte, kichere, kichert, haben, gekichert
kickboxen, kickboxe, kickboxt, kickboxte, kickboxte, kickboxe, kickboxt, haben, gekickboxt
kicken, kicke, kickt, kickte, kickte, kick, kickt, haben, gekickt
kidnappen, kidnappe, kidnappt, kidnappte, kidnappte, kidnapp, kidnappt, haben, gekidnappt
kiebitzen, kiebitze, kiebitzt, kiebitzte, kiebitzte, kiebitz, kiebitzt, haben, gekiebitzt
kieken, kieke, kiekt, kiekte, kiekte, kieke, kiekt, haben, gekiekt
kiesen, kiese, kiest, kieste, kieste, kies, kiest, haben, gekiest
kiffen, kiffe, kifft, kiffte, kiffte, kiffe, kifft, haben, gekifft
killen, kille, killt, killte, killte, kille, killt, haben, gekillt
killen, —, killt, killte, killte, —, —, haben, gekillt
